init_x_idx,loop_num,base_pos_x,base_pos_y,base_bearing,x_true_x,x_true_y,x_true_theta,x_est_x,x_est_y,x_est_theta,Sigma_est_x,Sigma_est_y,Sigma_est_theta
4,0,2.0,-3.0,0.785413110879955,2.0,-3.0,0.785413110879955,1.994560342340498,-3.001636692843995,0.7853387632949343,4.486595650177172e-05,2.9741611046629757e-05,2.594904824793076e-06
4,0,2.000030794069575,-2.999969375954101,0.7854118925204071,2.000030794069575,-2.999969375954101,0.7854118925204071,2.005014298289112,-2.99776151383061,0.7841095462696251,2.4413816329914285e-05,1.6962382701293407e-05,1.5637645613947653e-06
4,0,2.000068686672391,-2.999931679926488,0.7854107267158871,2.000068686672391,-2.999931679926488,0.7854107267158871,2.002849133453222,-2.9953277603143333,0.7824614613518143,1.9017125316968416e-05,1.4072621670175533e-05,1.3123828908229515e-06
4,0,2.0001133860524387,-2.999887864283877,0.7854108102943709,2.0001133860524387,-2.999887864283877,0.7854108102943709,2.0040717766511835,-2.990491141269295,0.7830972911759231,1.7077772286430196e-05,1.3208561561300187e-05,1.2224526944603494e-06
4,0,2.000165619456352,-2.999838444154972,0.7854133323192038,2.000165619456352,-2.999838444154972,0.7854133323192038,1.9987320128444044,-2.993739558563274,0.7827731169361019,1.6274849607279204e-05,1.2903994460631429e-05,1.1860082509546212e-06
4,0,2.000224465145617,-2.9997842422692766,0.785420330379623,2.000224465145617,-2.9997842422692766,0.785420330379623,1.996619151635178,-2.99429859804737,0.7817396312487987,1.5976194502213534e-05,1.2820238382129633e-05,1.1711310436121458e-06
4,0,2.0002890551551338,-2.999725961961238,0.7854309039520215,2.0002890551551338,-2.999725961961238,0.7854309039520215,1.99666940516247,-2.9954977730007366,0.7825783278341674,1.5856092583863633e-05,1.279306013337063e-05,1.1651295656600967e-06
4,0,2.0003589041975425,-2.9996639008543236,0.7854447485593008,2.0003589041975425,-2.9996639008543236,0.7854447485593008,2.00045583580957,-2.9938831680994746,0.782299429998487,1.581404810894581e-05,1.2790916610374614e-05,1.1627872060936332e-06
4,0,2.0004336542732943,-2.9995982064048574,0.7854617999093084,2.0004336542732943,-2.9995982064048574,0.7854617999093084,1.9979095005581509,-2.9960688499078123,0.7830111658580559,1.578178816226357e-05,1.2782944253530569e-05,1.1616706063036623e-06
4,0,2.0005121307880063,-2.9995297347373295,0.7854807812365661,2.0005121307880063,-2.9995297347373295,0.7854807812365661,1.9951909779061745,-2.991935379630744,0.7826214957005835,1.5786302402068106e-05,1.2791927780768439e-05,1.1613710362568875e-06
4,0,2.0006037399616017,-2.9994081080087263,0.785419385468891,2.0006037399616017,-2.9994081080087263,0.785419385468891,1.9978005702480508,-2.989399529416698,0.7815560895903311,1.5757732318675822e-05,1.276563078020851e-05,1.1608874836372578e-06
4,0,2.000697644382209,-2.999282257054451,0.7853540519721479,2.000697644382209,-2.999282257054451,0.7853540519721479,2.0005337689099325,-2.990998441036431,0.7808905672246517,1.572644803559868e-05,1.274344376124772e-05,1.160165355563819e-06
4,0,2.0007969259893907,-2.999147362841313,0.7852812753569367,2.0007969259893907,-2.999147362841313,0.7852812753569367,1.9974531095742034,-2.9921326474640413,0.7824086822788733,1.5725034729202874e-05,1.2749375746689755e-05,1.159868650488242e-06
4,0,2.0008977503801666,-2.999010932944063,0.7852084176091739,2.0008977503801666,-2.999010932944063,0.7852084176091739,2.0001470527242975,-2.990520290418463,0.7817271133743308,1.5733999090992443e-05,1.2755574404973722e-05,1.1599473135435143e-06
4,0,2.0009999879910487,-2.9988730977960936,0.7851354689381989,2.0009999879910487,-2.9988730977960936,0.7851354689381989,2.000080013601155,-2.9870789766954124,0.7810173594709844,1.5723975198248717e-05,1.2749670071370023e-05,1.159861220583833e-06
4,0,2.0011035190290887,-2.998733977974154,0.7850624207522813,2.0011035190290887,-2.998733977974154,0.7850624207522813,1.9984526348902778,-2.9906575492349785,0.7814164547042796,1.5694331207597904e-05,1.272582782890926e-05,1.1593419318650112e-06
4,0,2.0012082553469517,-2.998593662337649,0.7849892651779736,2.0012082553469517,-2.998593662337649,0.7849892651779736,1.9986507580418236,-2.990081799071327,0.7810359630745368,1.5710737556484705e-05,1.2739740294231692e-05,1.1593398483532616e-06
4,0,2.0013497855851683,-2.9984442938549503,0.7849718713707896,2.0013497855851683,-2.9984442938549503,0.7849718713707896,1.999064798155979,-2.994382858843954,0.7827096007670843,1.571234177424622e-05,1.2740560548454096e-05,1.159450648362186e-06
4,0,2.001495932375502,-2.9982929770616527,0.7849598088553027,2.001495932375502,-2.9982929770616527,0.7849598088553027,1.997882401250405,-2.9959870545504717,0.781660856294159,1.5744997259176596e-05,1.2768550817225084e-05,1.1599786557936115e-06
4,0,2.001646234384672,-2.9981398774879047,0.784952491233306,2.001646234384672,-2.9981398774879047,0.784952491233306,1.996106009294985,-2.992513115953657,0.7810183268668253,1.5770444079850197e-05,1.2786690171078976e-05,1.160635433949734e-06
4,0,2.0018002223869473,-2.9979851628758216,0.784949320350919,2.0018002223869473,-2.9979851628758216,0.784949320350919,1.996885453271052,-2.99110474611803,0.780098674301577,1.5755281834051797e-05,1.2768582083728855e-05,1.1606422263059064e-06
4,0,2.0019566632404415,-2.9978291688382432,0.7849484948260795,2.0019566632404415,-2.9978291688382432,0.7849484948260795,1.9940921113674428,-2.9898658218230003,0.7795000018805902,1.573888734803183e-05,1.2754606859625074e-05,1.1603022133254839e-06
4,0,2.0021152712234263,-2.9976720135666053,0.7849496827265701,2.0021152712234263,-2.9976720135666053,0.7849496827265701,1.9954847690103161,-2.99104088124064,0.780644082251694,1.5724603882173512e-05,1.2739727696742258e-05,1.1599214197655924e-06
4,0,2.002275616273454,-2.9975138342277017,0.7849522981513003,2.002275616273454,-2.9975138342277017,0.7849522981513003,1.99532061157938,-2.9915614666621195,0.7805990429722102,1.5726925462504436e-05,1.274360608890517e-05,1.1598086120809918e-06
