init_x_idx,loop_num,base_pos_x,base_pos_y,base_bearing,x_true_x,x_true_y,x_true_theta,x_est_x,x_est_y,x_est_theta,Sigma_est_x,Sigma_est_y,Sigma_est_theta
2,0,6.0,9.0,0.785413110879955,6.0,9.0,0.785413110879955,6.028326306119204,8.946766844077112,0.7791746585974092,0.0008297706393376458,0.0011306257247192253,1.3629600150721899e-05
2,0,5.999918675452034,8.999918668994072,0.785415024264267,5.999918675452034,8.999918668994072,0.785415024264267,6.002908839513943,8.96010449972597,0.7793314669584566,0.00040629169614552505,0.0005587932004341228,7.004572815915395e-06
2,0,5.999806778628894,8.999809256581338,0.7854222870092742,5.999806778628894,8.999809256581338,0.7854222870092742,5.980335429581176,8.949613924268363,0.7882472222412573,0.0002719467970665369,0.00037348299176018587,4.859283489781987e-06
2,0,5.999675522848492,8.999680477259455,0.7854295854316561,5.999675522848492,8.999680477259455,0.7854295854316561,5.946803251680774,8.932311341458137,0.7922528231518582,0.00020651840768738173,0.0002825472615596118,3.812868480131244e-06
2,0,5.999445874222317,8.999454571533215,0.7854396136904439,5.999445874222317,8.999454571533215,0.7854396136904439,5.9153100364318965,8.9142594616506,0.7930138467113519,0.0001683532045066056,0.00022905072517289305,3.20240906794155e-06
2,0,5.999075043865635,8.999071988915675,0.7854171591139487,5.999075043865635,8.999071988915675,0.7854171591139487,5.898834335650902,8.894638917998906,0.7940490903942876,0.00014379601923915296,0.00019429538683365038,2.807015393473428e-06
2,0,5.998687973333122,8.998673172666681,0.7853946011065506,5.998687973333122,8.998673172666681,0.7853946011065506,5.875681751924747,8.88669988201588,0.7961154342788778,0.00012698203875635632,0.0001703015767227883,2.533217826747098e-06
2,0,5.99828594220792,8.998259406116073,0.7853719009905636,5.99828594220792,8.998259406116073,0.7853719009905636,5.86140873668929,8.8692406473641,0.7965241573869207,0.00011504959882078441,0.0001530217286812291,2.3339212318102466e-06
2,0,5.997855066955966,8.99780305205084,0.7853199301181596,5.997855066955966,8.99780305205084,0.7853199301181596,5.842517225743034,8.85992441044092,0.7976926321954625,0.00010624511668417091,0.00014014700957801484,2.186757869409542e-06
2,0,5.997410777144801,8.99733332206109,0.785267549248843,5.997410777144801,8.99733332206109,0.785267549248843,5.825947285222501,8.851136682153593,0.7985183459313965,9.963905565509554e-05,0.00013033722182229085,2.0738048233980294e-06
2,0,5.996953344082363,8.996850491643436,0.785214709927658,5.996953344082363,8.996850491643436,0.785214709927658,5.805226406312514,8.839203431380774,0.8000437909351803,9.459222155162314e-05,0.00012272442804174747,1.9861158881870875e-06
2,0,5.996482854087423,8.996354650712428,0.7851613684639487,5.996482854087423,8.996354650712428,0.7851613684639487,5.794904986797707,8.824087207999675,0.8001051369889886,9.065131354148087e-05,0.00011669873653694794,1.9180383276596048e-06
2,0,5.9959993479113765,8.99584584348175,0.7851074824433881,5.9959993479113765,8.99584584348175,0.7851074824433881,5.787271076452069,8.810478559107114,0.799090146662536,8.752772109346106e-05,0.00011188408890610476,1.864107264871991e-06
2,0,5.99550287061903,8.995324118510238,0.7850530096152757,5.99550287061903,8.995324118510238,0.7850530096152757,5.778883801946777,8.800064638183576,0.7978945605081441,8.503106613941399e-05,0.00010800678562343249,1.8205480973650435e-06
2,0,5.994993464639955,8.994789521758781,0.7849979077951744,5.994993464639955,8.994789521758781,0.7849979077951744,5.7700230937738235,8.792342519354793,0.7993329523590728,8.302667518644723e-05,0.00010486196564543999,1.7849432260123912e-06
2,0,5.994471146133446,8.994242072976244,0.7849421344037297,5.994471146133446,8.994242072976244,0.7849421344037297,5.760369395135424,8.784913346500053,0.799101126938465,8.140993349879849e-05,0.00010229601568729365,1.7556884020572817e-06
2,0,5.993906002890796,8.993674314725675,0.7849349092543332,5.993906002890796,8.993674314725675,0.7849349092543332,5.7487258888569785,8.782351512690838,0.8010672736025799,8.009461082748326e-05,0.00010018431803784705,1.731845782807501e-06
2,0,5.99332789681116,8.993093609311275,0.7849273846075756,5.99332789681116,8.993093609311275,0.7849273846075756,5.74114480035952,8.786155849335392,0.8018230138503064,7.903290331056434e-05,9.844274387140304e-05,1.7118724951728004e-06
2,0,5.992648056788886,8.992477611653955,0.7850670834233358,5.992648056788886,8.992477611653955,0.7850670834233358,5.734280055495759,8.781766010513099,0.803706409996415,7.820299213446403e-05,9.702249647255135e-05,1.6944991737696911e-06
2,0,5.991955104484472,8.991848361740818,0.7852078429444673,5.991955104484472,8.991848361740818,0.7852078429444673,5.7293241908369055,8.779605619819453,0.8037951001381336,7.751465060518017e-05,9.583850493037861e-05,1.6812124362476757e-06
2,0,5.991236179968628,8.991201005897642,0.7853678307150949,5.991236179968628,8.991201005897642,0.7853678307150949,5.720688589353538,8.777067326413901,0.8023359348873564,7.695293283777407e-05,9.485627063629513e-05,1.6700914730812501e-06
2,0,5.990504505739936,8.990540719766942,0.7855292929323824,5.990504505739936,8.990540719766942,0.7855292929323824,5.712618929036744,8.772929790403852,0.8039240578501873,7.648693240534904e-05,9.40279338453433e-05,1.661155032210727e-06
2,0,5.989731989439142,8.989758332353425,0.7855073312495685,5.989731989439142,8.989758332353425,0.7855073312495685,5.706143126705731,8.764775432524065,0.8042441340473654,7.608884378684651e-05,9.332221063108935e-05,1.6540449548977736e-06
2,0,5.988946286527716,8.988962776784026,0.7854852057307422,5.988946286527716,8.988962776784026,0.7854852057307422,5.701533764921416,8.759464901957683,0.8035734257596421,7.57306258416736e-05,9.27098884597922e-05,1.6486499731295284e-06
2,0,5.988134056840147,8.988116822575114,0.7854075552646267,5.988134056840147,8.988116822575114,0.7854075552646267,5.698829057307059,8.750007644919146,0.8042452635574391,7.542038460894289e-05,9.21859225661073e-05,1.6437938339532579e-06
2,0,5.98730894291145,8.987258072486421,0.7853291373710585,5.98730894291145,8.987258072486421,0.7853291373710585,5.693814707438152,8.74539360960769,0.804436694368215,7.513045218930699e-05,9.172783458500008e-05,1.6401146614042676e-06
2,0,5.986414872454813,8.986371830111963,0.7853472642808319,5.986414872454813,8.986371830111963,0.7853472642808319,5.692812428066678,8.742549398081467,0.8029984167969377,7.487677409566438e-05,9.133164935399466e-05,1.636573205576549e-06
2,0,5.985507982002718,8.985472743481795,0.7853655400026093,5.985507982002718,8.985472743481795,0.7853655400026093,5.683944913684219,8.74463977275231,0.8040773226322759,7.466459157530526e-05,9.099812129948523e-05,1.633134930229798e-06
2,0,5.984565584390961,8.984554899247705,0.7854241452686144,5.984565584390961,8.984554899247705,0.7854241452686144,5.680916227557058,8.748851527831594,0.8055160873387929,7.449585677014495e-05,9.071158250397568e-05,1.6299777284947023e-06
2,0,5.9836105480481745,8.983624337265105,0.7854833658346888,5.9836105480481745,8.983624337265105,0.7854833658346888,5.680271124970398,8.744887225390237,0.8053753818912506,7.43765002690142e-05,9.048005493985756e-05,1.626841655589468e-06
2,0,5.982611293508421,8.982663915615099,0.7855784548577482,5.982611293508421,8.982663915615099,0.7855784548577482,5.6795381961721665,8.74456113397676,0.8050329250934172,7.426320694341937e-05,9.027802427184623e-05,1.625096135078845e-06
2,0,5.981592596692438,8.981665878744922,0.7856301963114994,5.981592596692438,8.981665878744922,0.7856301963114994,5.680117960827667,8.74452393023948,0.8053187050518353,7.417148944466029e-05,9.01102868544194e-05,1.6233307217975043e-06
2,0,5.980536865494815,8.98064179914567,0.785710102343624,5.980536865494815,8.98064179914567,0.785710102343624,5.675908513178635,8.746591611421874,0.8060516743731292,7.40983540339853e-05,8.997382060985367e-05,1.621718576018088e-06
2,0,5.979448121156391,8.97953170602205,0.7856581123873121,5.979448121156391,8.97953170602205,0.7856581123873121,5.672874497244489,8.743945758746193,0.8057216411922585,7.404370253594889e-05,8.985807276391145e-05,1.6203314718295312e-06
2,0,5.978346609743366,8.978408908407719,0.7856056536710384,5.978346609743366,8.978408908407719,0.7856056536710384,5.668739707074239,8.746839866418137,0.8074366647472917,7.39862606900834e-05,8.974956454055213e-05,1.6197312958024962e-06
2,0,5.977229728575912,8.977263585527853,0.7855341481706875,5.977229728575912,8.977263585527853,0.7855341481706875,5.6681315689621705,8.748278821336205,0.8058700257235367,7.394851236396972e-05,8.965933815076554e-05,1.61870567858188e-06
2,0,5.976100375646491,8.976105888295416,0.7854618677392035,5.976100375646491,8.976105888295416,0.7854618677392035,5.6672125468966845,8.748785993772351,0.8063004130160994,7.3925472775193e-05,8.95867498197649e-05,1.617811927117919e-06
2,0,5.974954034028955,8.974920000362198,0.7853591028134537,5.974954034028955,8.974920000362198,0.7853591028134537,5.663136006454231,8.74188229326624,0.8076683126859894,7.390763693170375e-05,8.952628578966182e-05,1.6172179791495886e-06
2,0,5.973795249790126,8.973721821249738,0.7852550944030435,5.973795249790126,8.973721821249738,0.7852550944030435,5.662607287309318,8.737032965056333,0.8055496923117371,7.385897008952754e-05,8.94514526700535e-05,1.61781173768445e-06
2,0,5.972532553962468,8.972457086588687,0.7852496972816019,5.972532553962468,8.972457086588687,0.7852496972816019,5.660288022223329,8.73659701422011,0.8056930794819641,7.380320600655852e-05,8.937785052699574e-05,1.6180235818517438e-06
2,0,5.971257205373099,8.971179707250494,0.7852441584024048,5.971257205373099,8.971179707250494,0.7852441584024048,5.659652707964816,8.734604300410718,0.8057099166518732,7.375641953144798e-05,8.931268359298352e-05,1.617669881426942e-06
2,0,5.969920595757607,8.969867597699585,0.7853114651637675,5.969920595757607,8.969867597699585,0.7853114651637675,5.661287539575568,8.734956387993357,0.8066153648535798,7.371114634713814e-05,8.925337395837624e-05,1.6174019605876254e-06
2,0,5.968571697813488,8.968543094120843,0.7853795372086056,5.968571697813488,8.968543094120843,0.7853795372086056,5.662905352335061,8.731813615444086,0.8066453139841865,7.367829780491905e-05,8.920965072888525e-05,1.6167769291523848e-06
2,0,5.967204641557853,8.967195669746108,0.7854352979536278,5.967204641557853,8.967195669746108,0.7854352979536278,5.666295158725978,8.728612593572942,0.8040295436515101,7.3640039827734e-05,8.916971948548567e-05,1.6166047799347862e-06
2,0,5.9658255980337165,8.96583616456346,0.7854917587897214,5.9658255980337165,8.96583616456346,0.7854917587897214,5.663856553930212,8.7251243178201,0.8049111491575489,7.360159729482267e-05,8.913646576883498e-05,1.616406428989499e-06
2,0,5.964422995601367,8.964457969965556,0.7855633627658014,5.964422995601367,8.964457969965556,0.7855633627658014,5.664997109700465,8.721352148294374,0.8049176604595022,7.355316014749583e-05,8.909639180344594e-05,1.6165168348939052e-06
2,0,5.963008552423001,8.963067809693474,0.7856359412599268,5.963008552423001,8.963067809693474,0.7856359412599268,5.6645960740383305,8.721906301824575,0.8051163320461985,7.350104369163696e-05,8.905716866116274e-05,1.616494977596528e-06
2,0,5.961528649145073,8.961634613741927,0.7857768059680815,5.961528649145073,8.961634613741927,0.7857768059680815,5.658477683563733,8.723195911910356,0.8046778438880509,7.346240038681059e-05,8.902622920880042e-05,1.615969019879592e-06
2,0,5.960006264017619,8.960094807505174,0.7857261448590896,5.960006264017619,8.960094807505174,0.7857261448590896,5.65984904118796,8.725282804101077,0.8050026390232298,7.343204531528246e-05,8.89910730120551e-05,1.615645000842987e-06
2,0,5.958471797968821,8.958542997237162,0.7856749425203052,5.958471797968821,8.958542997237162,0.7856749425203052,5.658726929293905,8.72694013720802,0.80457007291018,7.34190305568094e-05,8.89697534974317e-05,1.6149892219269558e-06
2,0,5.956920604608596,8.956964515916997,0.7855918719723393,5.956920604608596,8.956964515916997,0.7855918719723393,5.650617911889898,8.725259676867717,0.8066351836916484,7.341451544882345e-05,8.895362829929567e-05,1.6145650813947195e-06
2,0,5.955357761984709,8.955374525448685,0.7855077414893139,5.955357761984709,8.955374525448685,0.7855077414893139,5.647844738906618,8.726172192573417,0.8061883361684437,7.33943645329626e-05,8.891931499804363e-05,1.6150044415445625e-06
2,0,5.953783423383407,8.953773185007746,0.7854224844771703,5.953783423383407,8.953773185007746,0.7854224844771703,5.64769346247895,8.720250308219745,0.8058689537451906,7.338233055904743e-05,8.888754412374792e-05,1.6149548117701724e-06
